nome_municipio,regiao_saude
Angra dos Reis,Baía da Ilha Grande
Aperibé,Noroeste
Araruama,Baixada Litorânea
Areal,Centro-Sul
Armação dos Búzios,Baixada Litorânea
Arraial do Cabo,Baixada Litorânea
Barra do Piraí,Médio Paraíba
Barra Mansa,Médio Paraíba
Belford Roxo,Metropolitana I
Bom Jardim,Serrana
Bom Jesus do Itabapoana,Noroeste
Cabo Frio,Baixada Litorânea
Cachoeiras de Macacu,Metropolitana II
Cambuci,Noroeste
Campos dos Goytacazes,Norte
Cantagalo,Serrana
Carapebus,Norte
Cardoso Moreira,Norte
Carmo,Serrana
Casimiro de Abreu,Baixada Litorânea
Comendador Levy Gasparian,Centro-Sul
Conceição de Macabu,Norte
Cordeiro,Serrana
Duas Barras,Serrana
Duque de Caxias,Metropolitana I
Engenheiro Paulo de Frontin,Centro-Sul
Guapimirim,Metropolitana II
Iguaba Grande,Baixada Litorânea
Itaboraí,Metropolitana II
Itaguaí,Metropolitana I
Italva,Noroeste
Itaocara,Noroeste
Itaperuna,Noroeste
Itatiaia,Médio Paraíba
Japeri,Metropolitana I
Laje do Muriaé,Noroeste
Macaé,Norte
Macuco,Serrana
Magé,Metropolitana II
Mangaratiba,Baía da Ilha Grande
Maricá,Metropolitana II
Mendes,Centro-Sul
Mesquita,Metropolitana I
Miguel Pereira,Centro-Sul
Miracema,Noroeste
Natividade,Noroeste
Nilópolis,Metropolitana I
Niterói,Metropolitana II
Nova Friburgo,Serrana
Nova Iguaçu,Metropolitana I
Paracambi,Metropolitana I
Paraíba do Sul,Centro-Sul
Paraty,Baía da Ilha Grande
Paty do Alferes,Centro-Sul
Petrópolis,Serrana
Pinheiral,Médio Paraíba
Piraí,Médio Paraíba
Porciúncula,Noroeste
Porto Real,Médio Paraíba
Quatis,Médio Paraíba
Queimados,Metropolitana I
Quissamã,Norte
Resende,Médio Paraíba
Rio Bonito,Metropolitana II
Rio Claro,Médio Paraíba
Rio das Flores,Médio Paraíba
Rio das Ostras,Baixada Litorânea
Rio de Janeiro,Metropolitana I
Santa Maria Madalena,Serrana
Santo Antônio de Pádua,Noroeste
São Fidélis,Norte
São Francisco de Itabapoana,Norte
São Gonçalo,Metropolitana II
São João da Barra,Norte
São João de Meriti,Metropolitana I
São José de Ubá,Noroeste
São José do Vale do Rio Preto,Serrana
São Pedro da Aldeia,Baixada Litorânea
São Sebastião do Alto,Serrana
Sapucaia,Centro-Sul
Saquarema,Baixada Litorânea
Seropédica,Metropolitana I
Silva Jardim,Baixada Litorânea
Sumidouro,Serrana
Tanguá,Metropolitana II
Teresópolis,Serrana
Trajano de Moraes,Serrana
Três Rios,Centro-Sul
Valença,Médio Paraíba
Varre-Sai,Noroeste
Vassouras,Centro-Sul
Volta Redonda,Médio Paraíba
