year,uf,status,checked_at_utc
2010,RJ,definitivo,2026-07-16T23:27:27Z
2011,RJ,definitivo,2026-07-16T23:27:27Z
2012,RJ,definitivo,2026-07-16T23:27:27Z
2013,RJ,definitivo,2026-07-16T23:27:27Z
2014,RJ,definitivo,2026-07-16T23:27:27Z
2015,RJ,definitivo,2026-07-16T23:27:27Z
2016,RJ,definitivo,2026-07-16T23:27:27Z
2017,RJ,definitivo,2026-07-16T23:27:27Z
2018,RJ,definitivo,2026-07-16T23:27:27Z
2019,RJ,definitivo,2026-07-16T23:27:27Z
2020,RJ,definitivo,2026-07-16T23:27:27Z
2021,RJ,definitivo,2026-07-16T23:27:27Z
2022,RJ,definitivo,2026-07-16T23:27:27Z
2023,RJ,definitivo,2026-07-16T23:27:27Z
2024,RJ,definitivo,2026-07-16T23:27:27Z
2025,RJ,indisponivel,2026-07-16T23:27:27Z
