variable,n_missing,proportion_missing
contador,136972,0.9283027563350977
ORIGEM,10579,0.07169724366490231
TIPOBITO,0,0
DTOBITO,0,0
HORAOBITO,1257,0.0085190883152266
DTNASC,239,0.0016197789238974998
IDADE,187,0.0012673584048905125
SEXO,12,8.132781207853556e-5
RACACOR,1521,0.010308300180954381
ESTCIV,3044,0.020630154997255186
ESC,17164,0.1163258805429987
CODMUNRES,0,0
CODBAIRES,139730,0.9469945984778144
LOCOCOR,15,1.0165976509816944e-4
CODESTAB,11528,0.07812891813677983
CODMUNOCOR,0,0
CODBAIOCOR,146808,0.994964452968804
IDADEMAE,147505,0.9996882433870323
ESCMAE,147511,0.9997289072930715
QTDFILVIVO,147495,0.9996204702103002
QTDFILMORT,147499,0.999647579480993
GRAVIDEZ,147495,0.9996204702103002
GESTACAO,147499,0.999647579480993
PARTO,147496,0.9996272475279734
OBITOPARTO,147495,0.9996204702103002
PESO,147496,0.9996272475279734
NUMERODN,147551,1
OBITOGRAV,140372,0.95134563642401615
OBITOPUERP,140386,0.9514405188714411
ASSISTMED,73544,0.4984310509586516
EXAME,139359,0.944480213621053
CIRURGIA,139511,0.9455103659073811
NECROPSIA,65707,0.44531721235369465
LINHAA,10481,0.0710330665329276
LINHAB,37296,0.25276683994008853
LINHAC,78384,0.5312332684969943
LINHAD,117970,0.7995201659087366
LINHAII,77740,0.5268686759154462
CAUSABAS,0,0
DTATESTADO,75,5.082988254908472e-4
CIRCOBITO,147551,1
ACIDTRAB,147551,1
FONTE,147550,0.9999932226823268
TPPOS,18864,0.1278473205874579
DTINVESTIG,134233,0.909739683228172
CAUSABAS_O,20,1.3554635346422594e-4
DTCADASTRO,936,0.006343569342125773
ATESTANTE,17213,0.11665796910898604
FONTEINV,133746,0.906439129521318
DTRECEBIM,4696,0.031826283793400245
UFINFORM,147551,1
CB_PRE,137175,0.9296785518227596
MORTEPARTO,147511,0.9997289072930715
DTCADINF,147512,0.9997356846107448
TPOBITOCOR,142782,0.9676789720164554
DTCADINV,143114,0.9699290414839615
source,0,0
IDADEminutos,147551,1
IDADEhoras,147551,1
IDADEdias,147549,0.9999864453646535
IDADEmeses,147501,0.9996611341163394
IDADEanos,239,0.0016197789238974998
OCUP,103560,0.7018590182377619
OCUPMAE,147538,0.9999118948702482
NATURAL,57859,0.3921288232543324
data_obito,0,0
ano,0,0
mes,0,0
municipio_residencia,0,0
municipio_ocorrencia,0,0
sexo,12,8.132781207853556e-5
idade_anos,239,0.0016197789238974998
raca_cor,1521,0.010308300180954381
escolaridade,17402,0.11793888214922298
estado_civil,3044,0.020630154997255186
causa_basica,0,0
causas_associadas,10481,0.0710330665329276
local_ocorrencia,15,1.0165976509816944e-4
CONTADOR,10579,0.07169724366490231
COMUNSVOIM,145586,0.9866825707721398
DTRECORIG,127420,0.8635658179205834
DTRECORIGA,20652,0.13996516458715969
CAUSAMAT,147551,1
ESC2010,26101,0.17689476858848804
ESCMAE2010,147506,0.9996950207047055
STDOEPIDEM,10579,0.07169724366490231
STDONOVA,10579,0.07169724366490231
SEMAGESTAC,147509,0.9997153526577252
TPMORTEOCO,139949,0.9484788310482477
DIFDATA,20798,0.14095465296744855
DTCONCASO,147525,0.9998237897404965
NUDIASOBIN,146301,0.9915283529084858
SERIESCFAL,140860,0.9546529674485432
SERIESCMAE,147544,0.9999525587762875
CODMUNCART,137715,0.9333383033662936
CODCART,137829,0.9341109175810398
NUMREGCART,137714,0.9333315260486205
DTREGCART,138128,0.93613733556533
DTCONINV,143787,0.9744901762780327
CODMUNNATU,71355,0.4835955025719921
ESTABDESCR,147551,1
CRM,100470,0.6809171066275389
NUMEROLOTE,40795,0.2764806744786548
STCODIFICA,40795,0.2764806744786548
CODIFICADO,40795,0.2764806744786548
VERSAOSIST,40795,0.2764806744786548
VERSAOSCB,40940,0.2774633855412705
ATESTADO,40795,0.2764806744786548
ESCMAEAGR1,147513,0.999742461928418
ESCFALAGR1,44691,0.30288510413348607
NUDIASOBCO,144091,0.976550480850689
FONTES,146569,0.9933446740449066
TPRESGINFO,147056,0.9966452277517605
TPNIVELINV,144072,0.9764217118148979
NUDIASINF,147546,0.999966113411634
FONTESINF,137934,0.9348225359367269
ALTCAUSA,147516,0.9997627938814376
