ano,subgrupo_cid,internacoes,obitos_hospitalares,mortalidade_hospitalar_pct
2010,I60,1114,169,15.170556552962298
2011,I60,939,131,13.951011714589988
2012,I60,743,120,16.1507402422611
2013,I60,822,190,23.114355231143552
2014,I60,805,153,19.006211180124225
2015,I60,850,160,18.823529411764707
2016,I60,801,176,21.972534332084894
2017,I60,670,138,20.597014925373134
2018,I60,625,112,17.919999999999998
2019,I60,649,143,22.033898305084744
2020,I60,605,113,18.677685950413224
2021,I60,666,144,21.62162162162162
2022,I60,652,146,22.392638036809817
2023,I60,780,143,18.333333333333332
2024,I60,968,171,17.665289256198346
2025,I60,1132,223,19.699646643109542
2010,I61,876,333,38.013698630136986
2011,I61,920,291,31.630434782608695
2012,I61,1119,357,31.903485254691688
2013,I61,959,355,37.0177267987487
2014,I61,1020,397,38.92156862745098
2015,I61,911,315,34.577387486278816
2016,I61,870,291,33.44827586206897
2017,I61,1002,341,34.03193612774451
2018,I61,1052,311,29.562737642585553
2019,I61,1286,356,27.682737169517885
2020,I61,1192,371,31.1241610738255
2021,I61,1389,411,29.589632829373652
2022,I61,1503,396,26.34730538922156
2023,I61,1524,388,25.45931758530184
2024,I61,1605,450,28.037383177570092
2025,I61,1758,481,27.360637087599542
2010,I62,303,86,28.38283828382838
2011,I62,395,143,36.20253164556962
2012,I62,428,151,35.280373831775705
2013,I62,347,114,32.85302593659942
2014,I62,328,109,33.23170731707317
2015,I62,323,104,32.19814241486068
2016,I62,298,113,37.919463087248324
2017,I62,380,99,26.052631578947366
2018,I62,491,147,29.938900203665987
2019,I62,472,133,28.177966101694917
2020,I62,375,104,27.73333333333333
2021,I62,403,119,29.528535980148884
2022,I62,480,118,24.583333333333332
2023,I62,525,104,19.80952380952381
2024,I62,556,139,25
2025,I62,493,111,22.515212981744423
2010,I63,689,196,28.44702467343977
2011,I63,746,187,25.067024128686327
2012,I63,825,212,25.696969696969695
2013,I63,676,190,28.106508875739642
2014,I63,765,166,21.69934640522876
2015,I63,1007,278,27.606752730883816
2016,I63,1075,279,25.953488372093027
2017,I63,1346,311,23.105497771173848
2018,I63,1469,378,25.731790333560244
2019,I63,1626,414,25.461254612546124
2020,I63,1332,462,34.68468468468468
2021,I63,1355,551,40.66420664206642
2022,I63,1547,444,28.700711053652228
2023,I63,1311,345,26.31578947368421
2024,I63,1090,197,18.073394495412845
2025,I63,1355,276,20.369003690036898
2010,I64,8130,2095,25.768757687576876
2011,I64,8159,1980,24.267679862728276
2012,I64,8351,1977,23.673811519578493
2013,I64,8637,1995,23.098298020145883
2014,I64,8958,2098,23.42040634070105
2015,I64,9439,2235,23.678355758025216
2016,I64,9636,2342,24.30469074304691
2017,I64,10258,2153,20.988496782998638
2018,I64,11741,2368,20.16863980921557
2019,I64,11884,2226,18.73106698081454
2020,I64,11717,2308,19.697874882649142
2021,I64,12718,2787,21.913822928133353
2022,I64,15484,3060,19.762335313872384
2023,I64,16705,3049,18.252020353187667
2024,I64,15063,2665,17.69235875987519
2025,I64,15812,2859,18.081204148747787
2010,I65,217,5,2.3041474654377883
2011,I65,193,5,2.5906735751295336
2012,I65,180,4,2.2222222222222223
2013,I65,175,3,1.7142857142857144
2014,I65,206,3,1.4563106796116505
2015,I65,197,4,2.030456852791878
2016,I65,200,5,2.5
2017,I65,204,5,2.450980392156863
2018,I65,174,2,1.1494252873563218
2019,I65,209,6,2.8708133971291865
2020,I65,151,3,1.9867549668874174
2021,I65,148,3,2.027027027027027
2022,I65,229,3,1.3100436681222707
2023,I65,245,4,1.6326530612244898
2024,I65,270,7,2.5925925925925926
2025,I65,323,6,1.8575851393188854
2010,I66,27,7,25.925925925925924
2011,I66,19,2,10.526315789473683
2012,I66,26,2,7.6923076923076925
2013,I66,32,6,18.75
2014,I66,18,2,11.11111111111111
2015,I66,19,6,31.57894736842105
2016,I66,29,4,13.793103448275861
2017,I66,15,3,20
2018,I66,10,2,20
2019,I66,21,0,0
2020,I66,13,1,7.6923076923076925
2021,I66,33,4,12.121212121212121
2022,I66,15,2,13.333333333333334
2023,I66,27,5,18.51851851851852
2024,I66,48,9,18.75
2025,I66,25,5,20
2010,I67,219,30,13.698630136986301
2011,I67,214,26,12.149532710280374
2012,I67,273,18,6.593406593406594
2013,I67,210,24,11.428571428571429
2014,I67,224,30,13.392857142857142
2015,I67,224,27,12.053571428571429
2016,I67,233,22,9.44206008583691
2017,I67,303,35,11.55115511551155
2018,I67,380,37,9.736842105263158
2019,I67,404,44,10.891089108910892
2020,I67,327,31,9.480122324159021
2021,I67,340,36,10.588235294117647
2022,I67,461,61,13.232104121475055
2023,I67,530,43,8.11320754716981
2024,I67,560,37,6.607142857142858
2025,I67,669,35,5.23168908819133
2016,I68,1,0,0
2017,I68,2,0,0
2018,I68,1,0,0
2019,I68,4,1,25
2020,I68,1,0,0
2021,I68,1,0,0
2022,I68,3,0,0
2023,I68,8,1,12.5
2024,I68,10,0,0
2025,I68,13,0,0
2010,I69,4305,240,5.574912891986063
2011,I69,4010,200,4.987531172069826
2012,I69,3849,183,4.75448168355417
2013,I69,3483,175,5.02440424921045
2014,I69,3321,150,4.5167118337850045
2015,I69,3283,172,5.239110569600975
2016,I69,3300,178,5.393939393939394
2017,I69,3300,214,6.484848484848485
2018,I69,3001,198,6.597800733088971
2019,I69,2542,189,7.435090479937058
2020,I69,2142,112,5.228758169934641
2021,I69,1776,123,6.925675675675675
2022,I69,1658,107,6.453558504221954
2023,I69,1702,121,7.109283196239718
2024,I69,1376,167,12.136627906976743
2025,I69,1281,170,13.27088212334114
