ano,subgrupo_cid,obitos_causa_basica
2010,I60,433
2011,I60,418
2012,I60,402
2013,I60,432
2014,I60,458
2015,I60,411
2016,I60,482
2017,I60,451
2018,I60,456
2019,I60,423
2020,I60,392
2021,I60,449
2022,I60,487
2023,I60,472
2024,I60,515
2010,I61,1747
2011,I61,1817
2012,I61,1911
2013,I61,1890
2014,I61,1882
2015,I61,1701
2016,I61,1818
2017,I61,1807
2018,I61,1716
2019,I61,1708
2020,I61,1747
2021,I61,1961
2022,I61,1941
2023,I61,1851
2024,I61,1955
2010,I62,154
2011,I62,139
2012,I62,144
2013,I62,172
2014,I62,166
2015,I62,171
2016,I62,183
2017,I62,159
2018,I62,194
2019,I62,217
2020,I62,197
2021,I62,213
2022,I62,222
2023,I62,248
2024,I62,312
2010,I63,69
2011,I63,84
2012,I63,63
2013,I63,50
2014,I63,58
2015,I63,80
2016,I63,103
2017,I63,108
2018,I63,122
2019,I63,121
2020,I63,104
2021,I63,83
2022,I63,66
2023,I63,60
2024,I63,64
2010,I64,4695
2011,I64,4313
2012,I64,3954
2013,I64,3925
2014,I64,3602
2015,I64,3289
2016,I64,3698
2017,I64,3486
2018,I64,3493
2019,I64,3498
2020,I64,3497
2021,I64,3761
2022,I64,3690
2023,I64,3290
2024,I64,3332
2010,I67,2032
2011,I67,2071
2012,I67,2209
2013,I67,2233
2014,I67,2237
2015,I67,2372
2016,I67,2467
2017,I67,2461
2018,I67,2480
2019,I67,2503
2020,I67,2377
2021,I67,2655
2022,I67,2857
2023,I67,3019
2024,I67,2880
2010,I69,1449
2011,I69,1377
2012,I69,1334
2013,I69,1278
2014,I69,1214
2015,I69,1175
2016,I69,1121
2017,I69,1093
2018,I69,1105
2019,I69,1118
2020,I69,890
2021,I69,917
2022,I69,882
2023,I69,977
2024,I69,986
