ano,raca_cor,n
2010,Amarela,14
2011,Amarela,19
2012,Amarela,21
2013,Amarela,25
2014,Amarela,23
2015,Amarela,22
2016,Amarela,24
2017,Amarela,17
2018,Amarela,12
2019,Amarela,11
2020,Amarela,11
2021,Amarela,17
2022,Amarela,16
2023,Amarela,18
2024,Amarela,18
2010,Branca,5586
2011,Branca,5338
2012,Branca,5343
2013,Branca,5172
2014,Branca,4894
2015,Branca,4744
2016,Branca,4973
2017,Branca,4863
2018,Branca,4735
2019,Branca,4779
2020,Branca,4540
2021,Branca,4742
2022,Branca,4786
2023,Branca,4544
2024,Branca,4629
2010,Ignorado/ausente,218
2011,Ignorado/ausente,193
2012,Ignorado/ausente,137
2013,Ignorado/ausente,122
2014,Ignorado/ausente,145
2015,Ignorado/ausente,96
2016,Ignorado/ausente,94
2017,Ignorado/ausente,98
2018,Ignorado/ausente,92
2019,Ignorado/ausente,62
2020,Ignorado/ausente,53
2021,Ignorado/ausente,58
2022,Ignorado/ausente,50
2023,Ignorado/ausente,47
2024,Ignorado/ausente,56
2010,Indígena,7
2011,Indígena,4
2012,Indígena,2
2013,Indígena,5
2014,Indígena,4
2015,Indígena,4
2016,Indígena,5
2017,Indígena,2
2018,Indígena,8
2019,Indígena,7
2020,Indígena,2
2021,Indígena,7
2022,Indígena,10
2023,Indígena,10
2024,Indígena,5
2010,Parda,2930
2011,Parda,2903
2012,Parda,2720
2013,Parda,2903
2014,Parda,2792
2015,Parda,2707
2016,Parda,3021
2017,Parda,2892
2018,Parda,2984
2019,Parda,2970
2020,Parda,2850
2021,Parda,3264
2022,Parda,3253
2023,Parda,3276
2024,Parda,3365
2010,Preta,1824
2011,Preta,1762
2012,Preta,1794
2013,Preta,1753
2014,Preta,1759
2015,Preta,1626
2016,Preta,1755
2017,Preta,1693
2018,Preta,1735
2019,Preta,1759
2020,Preta,1748
2021,Preta,1951
2022,Preta,2030
2023,Preta,2022
2024,Preta,1971
