ano,sexo,n
2010,Feminino,5470
2011,Feminino,5252
2012,Feminino,5272
2013,Feminino,5281
2014,Feminino,4941
2015,Feminino,4791
2016,Feminino,5123
2017,Feminino,4922
2018,Feminino,4880
2019,Feminino,4930
2020,Feminino,4693
2021,Feminino,5149
2022,Feminino,5141
2023,Feminino,5060
2024,Feminino,5085
2011,Ignorado/ausente,2
2013,Ignorado/ausente,1
2014,Ignorado/ausente,2
2015,Ignorado/ausente,1
2016,Ignorado/ausente,1
2017,Ignorado/ausente,1
2018,Ignorado/ausente,1
2020,Ignorado/ausente,1
2021,Ignorado/ausente,1
2023,Ignorado/ausente,1
2010,Masculino,5109
2011,Masculino,4965
2012,Masculino,4745
2013,Masculino,4698
2014,Masculino,4674
2015,Masculino,4407
2016,Masculino,4748
2017,Masculino,4642
2018,Masculino,4685
2019,Masculino,4658
2020,Masculino,4510
2021,Masculino,4889
2022,Masculino,5004
2023,Masculino,4856
2024,Masculino,4959
