term,estimate,standard_error,model
(Intercept),7.078129431035713,0.020845676889778644,quasi-Poisson descritivo
seq_len(nrow(x)),0.0024535097448122674,9.642661206881989e-5,quasi-Poisson descritivo
factor(mes)2,-0.06320869110495515,0.02665167513520491,quasi-Poisson descritivo
factor(mes)3,-0.03187903787600486,0.0264231378484914,quasi-Poisson descritivo
factor(mes)4,-0.049380829532053985,0.026525339262675737,quasi-Poisson descritivo
factor(mes)5,-0.00801926836182765,0.026234764741669397,quasi-Poisson descritivo
factor(mes)6,0.014565591332559484,0.026073875654006262,quasi-Poisson descritivo
factor(mes)7,0.07801466707959141,0.025662590571113586,quasi-Poisson descritivo
factor(mes)8,0.07677885983288263,0.02565750407534538,quasi-Poisson descritivo
factor(mes)9,0.046014295426176986,0.02583502067813948,quasi-Poisson descritivo
factor(mes)10,0.03191307204537313,0.025911103811067558,quasi-Poisson descritivo
factor(mes)11,0.003761100652924796,0.026077869059170797,quasi-Poisson descritivo
factor(mes)12,-0.03858586309434372,0.02634148561886806,quasi-Poisson descritivo
(Intercept),6.738287677422578,0.01877476643913799,quasi-Poisson descritivo
seq_len(nrow(x)),-1.64836476943815e-4,9.517546047799603e-5,quasi-Poisson descritivo
factor(mes)2,-0.12864100543657964,0.024799444935380114,quasi-Poisson descritivo
factor(mes)3,-0.06102102530076395,0.02436580197709541,quasi-Poisson descritivo
factor(mes)4,-0.08586180279523133,0.02452518085593168,quasi-Poisson descritivo
factor(mes)5,0.014419753919028276,0.023909514378567923,quasi-Poisson descritivo
factor(mes)6,0.01860525094676004,0.023887380415703388,quasi-Poisson descritivo
factor(mes)7,0.0819554117330349,0.023524449713256936,quasi-Poisson descritivo
factor(mes)8,0.055625658501160864,0.023677878345926596,quasi-Poisson descritivo
factor(mes)9,-0.015317402108357636,0.024101001343740554,quasi-Poisson descritivo
factor(mes)10,-0.006234792708888999,0.024050256346769685,quasi-Poisson descritivo
factor(mes)11,-0.04314929950977495,0.024280447183662915,quasi-Poisson descritivo
factor(mes)12,-0.022178871901699197,0.02415645336913898,quasi-Poisson descritivo
