variavel,categoria,internacoes,obitos,mortalidade_pct,ic95_inferior_pct,ic95_superior_pct
sexo,Feminino,141016,28199,19.99702161456856,19.78907902974162,20.206598794992455
sexo,Masculino,151936,28419,18.704586141533277,18.5093020853499,18.90145266670516
faixa_etaria,<1,244,65,26.639344262295083,21.485832345286106,32.51702071148371
faixa_etaria,1-19,2331,295,12.655512655512654,11.366974779690343,14.066934515403192
faixa_etaria,20-39,11732,1722,14.677804295942721,14.049007480170705,15.329724934702583
faixa_etaria,40-59,76068,12111,15.92128095914182,15.662999261701646,16.18300445563266
faixa_etaria,60-79,152803,28608,18.72214550761438,18.527342947152995,18.918520675543924
faixa_etaria,80+,49774,13817,27.75947281713344,27.36779287923074,28.154585449858565
raca_cor_rotulo,Amarela,2816,490,17.400568181818183,16.04498930639628,18.84496721024255
raca_cor_rotulo,Branca,74528,11714,15.717582653499356,15.458044162733925,15.980655056534577
raca_cor_rotulo,Ignorado/ausente,68866,17268,25.074782911741643,24.752452742579884,25.39989366506081
raca_cor_rotulo,Indígena,14,5,35.714285714285715,16.34473175355414,61.2355768960926
raca_cor_rotulo,Parda,104990,19362,18.441756357748357,18.208322605888775,18.677499382070415
raca_cor_rotulo,Preta,41738,7779,18.637692270832336,18.266999087736593,19.01415793590074
carater_rotulo,Eletivo,48916,4521,9.242374683130263,8.988906633239667,9.502243765183477
carater_rotulo,Urgência,244036,52097,21.348079791506173,21.18595591464669,21.511105694616422
regiao_saude,Baía da Ilha Grande,4917,842,17.124262761846655,16.097051516190746,18.202802948642876
regiao_saude,Baixada Litorânea,9744,2064,21.182266009852217,20.382410142511354,22.004835036592834
regiao_saude,Centro-Sul,9647,1596,16.5440033170934,15.815865547019053,17.298774999684284
regiao_saude,Médio Paraíba,27510,3756,13.653217011995638,13.252552465883744,14.064030971109142
regiao_saude,Metropolitana I,136568,32565,23.84526389783844,23.619993901865033,24.072005241647965
regiao_saude,Metropolitana II,46218,8661,18.73945216149552,18.386292450732018,19.09780794854867
regiao_saude,Noroeste,10611,1237,11.657713693337103,11.060936578194406,12.282242577455289
regiao_saude,Norte,15704,2583,16.448038716250636,15.876456749596441,17.03603140082085
regiao_saude,Serrana,32033,3314,10.345581119470545,10.016809228170835,10.68386273833712
subgrupo_cid,I60,12821,2432,18.96887918259106,18.29958068077682,19.65676735245895
subgrupo_cid,I61,18986,5844,30.780575160644684,30.127943916446657,31.440982207419882
subgrupo_cid,I62,6597,1894,28.710019705926936,27.630950753557883,29.813868705840928
subgrupo_cid,I63,18214,4886,26.82551883166795,26.187027691072036,27.473783228365615
subgrupo_cid,I64,182692,38197,20.907866792196703,20.72200908569987,21.094947911671433
subgrupo_cid,I65,3321,68,2.0475760313158684,1.6184191716003173,2.587539535083256
subgrupo_cid,I66,377,60,15.915119363395224,12.56886808243477,19.948983100096424
subgrupo_cid,I67,5571,536,9.621252916891043,8.874505809304708,10.42364763178487
subgrupo_cid,I68,44,2,4.545454545454546,1.2555109949594967,15.134998437629651
subgrupo_cid,I69,44329,2699,6.08856504771143,5.869749332765246,6.314990650207164
periodo,2010-2014,78255,15310,19.56424509615999,19.287803740028732,19.84367442647948
periodo,2015-2019,88217,17077,19.357946880986656,19.098558586233086,19.62000371036973
periodo,2020-2022,58716,12020,20.47142175897541,20.146992056909234,20.79971498705012
periodo,2023-2025,67764,12211,18.019892568325364,17.732320971791154,18.31108978619075
