ano,internacoes,populacao,taxa_100mil
2010,15880,15989929,99.31251101865432
2011,15595,16112678,96.78713867427872
2012,15794,16231365,97.30543303043213
2013,15341,16369179,93.7188114321433
2014,15645,16461173,95.04182964361044
2015,16253,16550024,98.20529565395192
2016,16443,16635996,98.83988911754969
2017,17480,16718956,104.55198279126998
2018,18944,17159960,110.39652773083388
2019,19097,17264943,110.61142802498684
2020,17855,17366189,102.81472809031389
2021,18829,17463349,107.82009796631792
2022,22032,16055174,137.2267905660817
2023,23357,16637425,140.3883112921621
2024,21546,17219679,125.12428367567131
2025,22861,17223547,132.73108030535172
